[ 2026-01-20 16:29:41,935 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-01-20 16:30:27,275 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,275 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:6]
[ 2026-01-20 16:30:27,275 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[7:11]
[ 2026-01-20 16:30:27,275 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,275 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[12:25]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[26:27]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[28:35]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[36:39]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[40:50]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[51:54]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[55:61]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[62:64]
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,276 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[65:79]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[80:85]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[86:98]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[99:105]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[106:118]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[119:122]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[123:136]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[137:140]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[141:156]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[157:160]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[161:175]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[176:179]
[ 2026-01-20 16:30:27,277 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[180:192]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[193:196]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[197:213]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[214:217]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[218:229]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[230:233]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[234:245]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[246:249]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[250:265]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[266:269]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[270:278]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[279:293]
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,278 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[294:310]
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[311:314]
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[315:328]
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[329:345]
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-01-20 16:30:27,279 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2026-01-20 16:30:27,279 ] root - INFO - Entered get_churn_data_as_dict method of ChurnData class
[ 2026-01-20 16:30:27,279 ] root - INFO - Created churn data dict
[ 2026-01-20 16:30:27,280 ] root - INFO - Exited get_churn_data_as_dict method of ChurnData class
[ 2026-01-20 16:30:27,287 ] root - INFO - Entered predict method of ChurnDataClassifier class
[ 2026-01-20 16:30:27,288 ] botocore.hooks - DEBUG - Changing event name from creating-client-class.iot-data to creating-client-class.iot-data-plane
[ 2026-01-20 16:30:27,290 ] botocore.hooks - DEBUG - Changing event name from before-call.apigateway to before-call.api-gateway
[ 2026-01-20 16:30:27,290 ] botocore.hooks - DEBUG - Changing event name from request-created.machinelearning.Predict to request-created.machine-learning.Predict
[ 2026-01-20 16:30:27,292 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.autoscaling.CreateLaunchConfiguration to before-parameter-build.auto-scaling.CreateLaunchConfiguration
[ 2026-01-20 16:30:27,292 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.route53 to before-parameter-build.route-53
[ 2026-01-20 16:30:27,292 ] botocore.hooks - DEBUG - Changing event name from request-created.cloudsearchdomain.Search to request-created.cloudsearch-domain.Search
[ 2026-01-20 16:30:27,293 ] botocore.hooks - DEBUG - Changing event name from docs.*.autoscaling.CreateLaunchConfiguration.complete-section to docs.*.auto-scaling.CreateLaunchConfiguration.complete-section
[ 2026-01-20 16:30:27,294 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.logs.CreateExportTask to before-parameter-build.cloudwatch-logs.CreateExportTask
[ 2026-01-20 16:30:27,294 ] botocore.hooks - DEBUG - Changing event name from docs.*.logs.CreateExportTask.complete-section to docs.*.cloudwatch-logs.CreateExportTask.complete-section
[ 2026-01-20 16:30:27,295 ] botocore.hooks - DEBUG - Changing event name from before-parameter-build.cloudsearchdomain.Search to before-parameter-build.cloudsearch-domain.Search
[ 2026-01-20 16:30:27,295 ] botocore.hooks - DEBUG - Changing event name from docs.*.cloudsearchdomain.Search.complete-section to docs.*.cloudsearch-domain.Search.complete-section
[ 2026-01-20 16:30:27,430 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\boto3\data\s3\2006-03-01\resources-1.json
[ 2026-01-20 16:30:27,433 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\endpoints.json
[ 2026-01-20 16:30:27,450 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\sdk-default-configuration.json
[ 2026-01-20 16:30:27,450 ] botocore.hooks - DEBUG - Event choose-service-name: calling handler <function handle_service_name_alias at 0x0000013FE395D260>
[ 2026-01-20 16:30:27,549 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\s3\2006-03-01\service-2.json.gz
[ 2026-01-20 16:30:27,561 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\s3\2006-03-01\service-2.sdk-extras.json
[ 2026-01-20 16:30:27,654 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\s3\2006-03-01\endpoint-rule-set-1.json.gz
[ 2026-01-20 16:30:27,658 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\partitions.json
[ 2026-01-20 16:30:27,659 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_post at 0x0000013FE38BFEC0>
[ 2026-01-20 16:30:27,659 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function lazy_call.<locals>._handler at 0x0000013F983977E0>
[ 2026-01-20 16:30:27,661 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_url at 0x0000013FE38BFC40>
[ 2026-01-20 16:30:27,661 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_service
[ 2026-01-20 16:30:27,661 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_global
[ 2026-01-20 16:30:27,661 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_service
[ 2026-01-20 16:30:27,661 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_global
[ 2026-01-20 16:30:27,661 ] botocore.configprovider - DEBUG - No configured endpoint found.
[ 2026-01-20 16:30:27,662 ] botocore.endpoint - DEBUG - Setting s3 timeout as (60, 60)
[ 2026-01-20 16:30:27,677 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\_retry.json
[ 2026-01-20 16:30:27,677 ] botocore.client - DEBUG - Registering retry handlers for service: s3
[ 2026-01-20 16:30:27,677 ] botocore.utils - DEBUG - Registering S3 region redirector handler
[ 2026-01-20 16:30:27,678 ] botocore.utils - DEBUG - Registering S3Express Identity Resolver
[ 2026-01-20 16:30:27,678 ] boto3.resources.factory - DEBUG - Loading s3:s3
[ 2026-01-20 16:30:27,679 ] botocore.hooks - DEBUG - Event choose-service-name: calling handler <function handle_service_name_alias at 0x0000013FE395D260>
[ 2026-01-20 16:30:27,681 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_post at 0x0000013FE38BFEC0>
[ 2026-01-20 16:30:27,681 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function lazy_call.<locals>._handler at 0x0000013F983977E0>
[ 2026-01-20 16:30:27,681 ] botocore.hooks - DEBUG - Event creating-client-class.s3: calling handler <function add_generate_presigned_url at 0x0000013FE38BFC40>
[ 2026-01-20 16:30:27,681 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_service
[ 2026-01-20 16:30:27,681 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: environment_global
[ 2026-01-20 16:30:27,681 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_service
[ 2026-01-20 16:30:27,681 ] botocore.configprovider - DEBUG - Looking for endpoint for s3 via: config_global
[ 2026-01-20 16:30:27,681 ] botocore.configprovider - DEBUG - No configured endpoint found.
[ 2026-01-20 16:30:27,682 ] botocore.endpoint - DEBUG - Setting s3 timeout as (60, 60)
[ 2026-01-20 16:30:27,684 ] botocore.client - DEBUG - Registering retry handlers for service: s3
[ 2026-01-20 16:30:27,684 ] botocore.utils - DEBUG - Registering S3 region redirector handler
[ 2026-01-20 16:30:27,684 ] botocore.utils - DEBUG - Registering S3Express Identity Resolver
[ 2026-01-20 16:30:27,684 ] root - INFO - Entered the get_file_object method of SimpleStorageService class
[ 2026-01-20 16:30:27,685 ] root - INFO - Entered the get_bucket method of SimpleStorageService class
[ 2026-01-20 16:30:27,685 ] boto3.resources.factory - DEBUG - Loading s3:Bucket
[ 2026-01-20 16:30:27,685 ] boto3.resources.model - DEBUG - Renaming Bucket attribute name
[ 2026-01-20 16:30:27,686 ] botocore.hooks - DEBUG - Event creating-resource-class.s3.Bucket: calling handler <function lazy_call.<locals>._handler at 0x0000013F983FC0E0>
[ 2026-01-20 16:30:27,686 ] root - INFO - Exited the get_bucket method of SimpleStorageService class
[ 2026-01-20 16:30:27,752 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\s3\2006-03-01\paginators-1.json
[ 2026-01-20 16:30:27,753 ] botocore.loaders - DEBUG - Loading JSON file: C:\Users\kavet\OneDrive\Desktop\github\.venv\Lib\site-packages\botocore\data\s3\2006-03-01\paginators-1.sdk-extras.json
[ 2026-01-20 16:30:27,753 ] boto3.resources.collection - DEBUG - Calling paginated s3:list_objects with {'Bucket': 'customer-churn-model-ck', 'Prefix': 'customer_churn_model.pkl'}
[ 2026-01-20 16:30:27,753 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <function set_list_objects_encoding_type_url at 0x0000013FE395EFC0>
[ 2026-01-20 16:30:27,753 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <function validate_bucket_name at 0x0000013FE395DB20>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <function remove_bucket_from_url_paths_from_model at 0x0000013FE395FE20>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <bound method S3RegionRedirectorv2.annotate_request_context of <botocore.utils.S3RegionRedirectorv2 object at 0x0000013F98F24EC0>>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <bound method ClientCreator._inject_s3_input_parameters of <botocore.client.ClientCreator object at 0x0000013F983A3770>>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <function generate_idempotent_uuid at 0x0000013FE395D940>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-parameter-build.s3.ListObjects: calling handler <function _handle_request_validation_mode_member at 0x0000013FE493C540>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-endpoint-resolution.s3: calling handler <function customize_endpoint_resolver_builtins at 0x0000013FE493C040>
[ 2026-01-20 16:30:27,754 ] botocore.hooks - DEBUG - Event before-endpoint-resolution.s3: calling handler <bound method S3RegionRedirectorv2.redirect_from_cache of <botocore.utils.S3RegionRedirectorv2 object at 0x0000013F98F24EC0>>
